Label	rev_id	comment	year	logged_in	ns	sample	split
0	123456.0	This vacuum sucks a lot	2015	True	article	blocked	train
0	123456.0	This vacuum sucks so much 2015	True	article	blocked	train
0	123456.0	This vacuum sucks so much dirt 2015	True	article	blocked	train
0	24297552.0	The other two films Hitch and Magnolia are also directly related to the community in question, and may be of interest to those who see those films.  So why not link to them?  	2005	False	article	random	train
0	329801523.0	  == blocking people ==  how can i block lambs12 from my page and editing my stuff she's saying bad things she's my sister  	2009	True	user	random	test
1	391141109.0	  == Are you a female????? ==  mootmootmootmootmootmootmootmootmootmoot	2010	True	user	blocked	train
0	426027506.0	 :::::Good enough for me; thanks for the info. I'll check the Sheffield references later. -   	2011	True	article	random	train
0	402484476.0	  == Motherjane concert location ==  Hi,  Motherjane, being a popular band, has headlined a lot of college rock festivals in India. But quoting the name of every college that they have performed is not quite right. So please refrain from adding the names of any more colleges/institutes. Thanks! —   	2010	True	article	random	train
0	361804288.0	  == warning ==  don't vandalize   	2010	True	user	blocked	train
0	668780869.0	" :There were reviews from critics in her song?   "	2015	True	article	blocked	train
0	555501737.0	"  Jack, is it a misrepresentation for you to write more than 500,000 nucleotide base pairs, or should you write 582 base pair.   Lets start watching ""RNA world"" page too.   "	2013	True	user	blocked	train
0	463827776.0	":Thank you, I will use these tool responsibly.  (Editor Review)   "	2011	True	user	random	train
0	502281592.0	  HELLO SITUSH ARE YOU THERE?? PEOPLE HAVE SOME QUESTIONS	2012	False	article	blocked	test
0	160548279.0	   -FREE MYANMAR!!! STOP THE MILITARY REGIME!!!! PATS1 DOESN't CARE!!! HE ONLY CARES ABOUT FOOTBALL AND ORDER!!!!!!!!!!!!!!!!	2007	True	user	blocked	train
0	530927911.0	" :Michael, with all due respect, it's over. It may be that you can do math better than me, but it's not the math that's the problem, it's statements like ""I don't know a whole lot about this case, but I tend to think that race may well be relevant here"" and ""My first instinct is it likely should be included as the news accounts likely included the information. But did they or was this simply not an issue?"". I assume you are ""counting"" those as ""in favour of inclusion""really, one can't. They are not unequivocal inclusion votes and raise more questions than they answer. Moreover, I assume you're including comments like ""I agree that race should be included as long as it does not violate WP:UNDUE."" That's finebut this participant did not address how the inclusion does not violate UNDUE, and since this (as John points out) is not a vote, such a statement can't have the full weight as is carried by the more complete answers of John and Beyond My Ken.   "	2013	True	article	blocked	test
0	149746279.0	  == Ecotheology is a acceptet term ==  I strongly suggest that the headline is keept. Just check out the web, ecotheology is a well known and accepted term. Religion and economy can be a link or further reading. 	2007	True	article	blocked	train
0	179903368.0	There's probably at least a website somewhere that you could cite. 	2007	True	article	random	train
0	131325703.0	Please do not replace Wikipedia pages with blank content. Blank pages are harmful to Wikipedia because they have a tendency to confuse readers. If it is a duplicate article, please redirect it to an appropriate existing page. If the page has been vandalised, please revert it to the last legitimate version. If you feel that the content of a page is inappropriate, please edit the page and replace it with appropriate content. If you believe there is no hope for the page, please see the deletion policy for how to proceed.     	2007	True	user	random	train
